Site Name,Site Code,Latitude,Longitude,Elevation
JACKSONVILLE,KJAX,30.484633,-81.7019,160.0
GAYLORD,KAPX,44.90635,-84.719533,1561.0
BUFFALO,KBUF,42.948789,-78.736781,790.0
ROANOKE,KFCX,37.0244,-80.273969,2965.0
INDIANAPOLIS,KIND,39.7075,-86.280278,887.0
KAMUELA,PHKM,20.125278,-155.777778,3966.0
TULSA,KINX,36.175131,-95.564161,749.0
STERLING,KLWX,38.976111,-77.4875,404.0
SALT LAKE CITY,KMTX,41.262778,-112.447778,6594.0
SAN ANGELO,KSJT,31.371278,-100.4925,2004.0
SITKA,PACG,56.852778,-135.529167,272.0
COLUMBIA,KCAE,33.948722,-81.118278,345.0
HOULTON,KCBW,46.03925,-67.806431,860.0
TUCSON,KEMX,31.89365,-110.63025,5319.0
MINOT AFB,KMBX,48.393056,-100.864444,1590.0
PUEBLO,KPUX,38.45955,-104.18135,5363.0
EDWARDS,KEYX,35.09785,-117.56075,2873.0
KING SALMON,PAKC,58.679444,-156.629444,144.0
KUNSAN,RKJK,35.924167,126.622222,192.0
KANSAS CITY,KEAX,38.81025,-94.264472,1092.0
FLAGSTAFF,KFSX,34.574333,-111.198444,7514.0
KNOXVILLE,KMRX,36.168611,-83.401944,1434.0
GRAND FORKS,KMVX,47.527778,-97.325556,1083.0
MAXWELL AFB,KMXX,32.53665,-85.78975,560.0
MOODY AFB,KVAX,30.890278,-83.001806,330.0
MILWAUKEE,KMKX,42.9679,-88.550667,1023.0
SANTA ANA MOUNTAINS,KSOX,33.817733,-117.636,3106.0
YUMA,KYUX,32.495281,-114.656711,239.0
MIAMI,KAMX,25.611083,-80.412667,111.0
EUREKA,KBHX,40.498583,-124.292167,2516.0
JACKSON BRANDON,KDGX,32.279944,-89.984444,609.0
FT HOOD,KGRK,30.721833,-97.382944,603.0
EL PASO,KEPZ,31.873056,-106.698,4218.0
VANCE AFB,KVNX,36.740617,-98.127717,1258.0
FT DRUM,KTYX,43.755694,-75.679861,1960.0
CAMP HUMPHREYS,RKSG,37.207569,127.285561,1521.0
LA CROSSE,KARX,43.822778,-91.191111,1357.0
PHOENIX,KIWA,33.289233,-111.669917,1426.0
ROBINS AFB,KJGX,32.675683,-83.350833,618.0
CEDAR CITY,KICX,37.59105,-112.862183,10757.0
RIVERTON,KRIW,43.066089,-108.4773,5633.0
CHARLESTON,KRLX,38.311111,-81.722778,1213.0
RAPID CITY,KUDX,44.124722,-102.83,3195.0
ALBANY,KENX,42.586556,-74.064083,1935.0
GREEN BAY,KGRB,44.498633,-88.111111,823.0
GRAND RAPIDS,KGRR,42.893889,-85.544889,875.0
SAN JOAQUIN VALLEY,KHNX,36.314181,-119.632139,340.0
NASHVILLE,KOHX,36.247222,-86.5625,676.0
PADUCAH,KPAH,37.068333,-88.771944,506.0
S KAUAI,PHKI,21.893889,-159.5525,340.0
HAMMOND MUNI AP,KHDC,30.52083,-90.4175,44.0
CANNON AFB,KFDX,34.634167,-103.618889,4698.0
MEDFORD,KMAX,42.081169,-122.717369,7561.0
LAUGHLIN AFB,KDFX,29.273139,-100.280333,1196.0
GREER,KGSP,34.883306,-82.219833,1069.0
RENO,KRGX,39.754056,-119.462028,8396.0
FLAGSTAFF,KFSX,34.574333,-111.198444,7514.0
LAJES AB,LPLA,38.73028,-27.32167,3334.0
BIRMINGHAM,KBMX,33.172417,-86.770167,759.0
ATLANTA,KFFC,33.36355,-84.56595,972.0
LUBBOCK,KLBB,33.654139,-101.814167,3378.0
OMAHA,KOAX,41.320369,-96.366819,1262.0
GREAT FALLS,KTFX,47.459583,-111.385333,3805.0
ANCHORAGE,PAHG,60.725914,-151.351467,356.0
ALBUQUERQUE,KABX,35.149722,-106.823889,5951.0
BINGHAMTON,KBGM,42.199694,-75.984722,1703.0
SACRAMENTO,KDAX,38.501111,-121.677833,144.0
HUNTSVILLE,KHTX,34.930556,-86.083611,1859.0
JACKSON,KJKL,37.590833,-83.313056,1461.0
FAIRBANKS,PAPD,65.035114,-147.501431,2707.0
GOODLAND,KGLD,39.366944,-101.700278,3716.0
PORTLAND,KGYX,43.891306,-70.256361,474.0
NORMAN NSSL,KOUN,35.236058,-97.46235,1284.0
MELBOURNE,KMLB,28.113194,-80.654083,149.0
PENDLETON,KPDT,45.69065,-118.852931,1580.0
NOME,PAEC,64.511389,-165.295,90.0
SEATTLE,KATX,48.194611,-122.495694,642.0
MOREHEAD CITY,KMHX,34.775908,-76.876189,145.0
MOBILE,KMOB,30.679444,-88.24,289.0
POCATELLO,KSFX,43.1056,-112.686133,4539.0
BILLINGS,KBLX,45.853778,-108.606806,3703.0
BROWNSVILLE,KBRO,25.916,-97.418967,88.0
DOVER AFB,KDOX,38.825767,-75.440117,164.0
LINCOLN,KILX,40.1505,-89.336792,731.0
LAKE CHARLES,KLCH,30.125306,-93.215889,137.0
CORPUS CHRISTI,KCRP,27.784017,-97.51125,142.0
ST LOUIS,KLSX,38.698611,-90.682778,722.0
EGLIN AFB,KEVX,30.565033,-85.921667,221.0
DALLAS,KFWS,32.573,-97.30315,777.0
LOUISVILLE,KLVX,37.975278,-85.943889,833.0
PITTSBURGH,KPBZ,40.531717,-80.217967,1266.0
SHREVEPORT,KSHV,32.450833,-93.84125,387.0
TAMPA,KTBW,27.7055,-82.401778,122.0
FT SMITH,KSRX,35.290417,-94.361889,737.0
KEY W,KBYX,24.5975,-81.703167,89.0
CLEVELAND,KCLE,41.413217,-81.859867,860.0
COLUMBUS AFB,KGWX,33.896917,-88.329194,590.0
FT CAMPBELL,KHPX,36.736972,-87.285583,613.0
MIDLAND ODESSA,KMAF,31.943461,-102.18925,2962.0
MEMPHIS,KNQA,35.344722,-89.873333,435.0
RALEIGH DURHAM,KRAX,35.665519,-78.48975,462.0
TALLAHASSEE,KTLH,30.397583,-84.328944,177.0
LOS ANGELES,KVTX,34.412017,-119.17875,2807.0
SIOUX FALLS,KFSD,43.587778,-96.729444,1495.0
STATE COLLEGE,KCCX,40.923167,-78.003722,2486.0
FT WAYNE,KIWX,41.358611,-85.7,1056.0
SPOKANE,KOTX,47.680417,-117.626778,2449.0
EVANSVILLE,KVWX,38.26025,-87.724528,625.0
LANGLEY HILL NW WASHIN,KLGX,47.116944,-124.106667,366.0
DETROIT,KDTX,42.7,-83.471667,1216.0
NEW ORLEANS,KLIX,30.336667,-89.825417,179.0
OKLAHOMA CITY,KTLX,35.333361,-97.277761,1278.0
BETHEL FAA,PABC,60.791944,-161.876389,193.0
MIDDLETON IS,PAIH,59.460767,-146.303447,132.0
CINCINNATI,KILN,39.420483,-83.82145,1170.0
BEALE AFB,KBBX,39.495639,-121.631611,221.0
CHARLESTON,KCLX,32.655528,-81.042194,229.0
BURLINGTON,KCXX,44.511,-73.166431,431.0
DODGE CITY,KDDC,37.760833,-99.968889,2671.0
GLASGOW,KGGW,48.206361,-106.624694,2384.0
SAN DIEGO,KNKX,32.919017,-117.0418,1052.0
S SHORE,PHWA,19.095,-155.568889,1461.0
AMARILLO,KAMA,35.233333,-101.709278,3703.0
BOISE,KCBX,43.490217,-116.236033,3172.0
DES MOINES,KDMX,41.7312,-93.722869,1095.0
LAS VEGAS,KESX,35.70135,-114.89165,4948.0
HASTINGS,KUEX,40.320833,-98.441944,2057.0
KADENA,RODN,26.3078,127.903469,412.0
BISMARCK,KBIS,46.770833,-100.760556,1755.0
DAVENPORT,KDVN,41.611667,-90.580833,851.0
FT RUCKER,KEOX,31.460556,-85.459389,537.0
FT POLK,KPOE,31.155278,-92.976111,473.0
ANDERSEN AFB AGANA,PGUA,13.455833,144.811111,386.0
BOSTON,KBOX,41.955778,-71.136861,232.0
DYESS AFB,KDYX,32.5385,-99.254333,1582.0
GRAND JUNCTION,KGJX,39.062169,-108.213761,10101.0
MIDDLETON IS,PAIH,59.460767,-146.303447,132.0
MOLOKAI,PHMO,21.132778,-157.180278,1444.0
DULUTH,KDLH,46.836944,-92.209722,1542.0
N PLATTE,KLNX,41.957944,-100.576222,3113.0
WILMINGTON,KLTX,33.98915,-78.429108,145.0
MARQUETTE,KMQT,46.531111,-87.548333,1525.0
SPRINGFIELD,KSGF,37.235239,-93.400419,1375.0
PHILA,KDIX,39.947089,-74.410731,230.0
MISSOULA,KMSX,47.041,-113.986222,7978.0
PORTLAND,KRTX,45.715039,-122.965,1728.0
NORFOLK RICH,KAKQ,36.98405,-77.007361,255.0
TOPEKA,KTWX,38.99695,-96.23255,1415.0
CHICAGO,KLOT,41.604444,-88.084444,760.0
HOLLOMAN AFB,KHDX,33.077,-106.120033,4270.0
ELKO,KLRX,40.73955,-116.8027,6895.0
VANDENBERG AFB,KVBX,34.83855,-120.397917,1354.0
NYC,KOKX,40.865528,-72.863917,199.0
HOUSTON,KHGX,29.4719,-95.078733,115.0
WICHITA,KICT,37.654444,-97.443056,1400.0
CHEYENNE,KCYS,41.151919,-104.806031,6193.0
ALTUS AFB,KFDR,34.362194,-98.976667,1315.0
ABERDEEN,KABR,45.455833,-98.413333,1383.0
MIAMI,KAMX,25.611083,-80.412667,111.0
MINNEAPOLIS,KMPX,44.848889,-93.565528,1101.0
LITTLE ROCK,KLZK,34.8365,-92.262194,649.0
SAN FRANCISCO,KMUX,37.155222,-121.898444,3550.0
DENVER FRONT RANGE AP,KFTG,39.786639,-104.545806,5611.0
AUSTIN SAN ANTONIO,KEWX,29.704056,-98.028611,767.0
